country,label,region,gdp_1967,gdp_1968,gdp_1969,gdp_1970,gdp_1971,gdp_1972,gdp_1973,gdp_1974,gdp_1975,gdp_1976,gdp_1977,gdp_1978,gdp_1979,gdp_1980,gdp_1981,gdp_1982,gdp_1983,gdp_1984,gdp_1985,gdp_1986,gdp_1987,gdp_1988,gdp_1989,gdp_1990,gdp_1991,gdp_1992,gdp_1993,gdp_1994,gdp_1995,gdp_1996,gdp_1997,gdp_1998,gdp_1999,gdp_2000,gdp_2001,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,Life_1967,Life_1968,Life_1969,Life_1970,Life_1971,Life_1972,Life_1973,Life_1974,Life_1975,Life_1976,Life_1977,Life_1978,Life_1979,Life_1980,Life_1981,Life_1982,Life_1983,Life_1984,Life_1985,Life_1986,Life_1987,Life_1988,Life_1989,Life_1990,Life_1991,Life_1992,Life_1993,Life_1994,Life_1995,Life_1996,Life_1997,Life_1998,Life_1999,Life_2000,Life_2001,Life_2002,Life_2003,Life_2004,Life_2005,Life_2006,Life_2007,Life_2008,Life_2009,Life_2010,Life_2011,Life_2012,Life_2013,Life_2014,Life_2015,pop_1967,pop_1968,pop_1969,pop_1970,pop_1971,pop_1972,pop_1973,pop_1974,pop_1975,pop_1976,pop_1977,pop_1978,pop_1979,pop_1980,pop_1981,pop_1982,pop_1983,pop_1984,pop_1985,pop_1986,pop_1987,pop_1988,pop_1989,pop_1990,pop_1991,pop_1992,pop_1993,pop_1994,pop_1995,pop_1996,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015
Thailand,bottom,Asean (current),2044,2145,2246,2323,2365,2398,2570,2621,2688,2870,3088,3325,3427,3508,3645,3770,3912,4068,4191,4356,4701,5250,5808,6369,6841,7333,7882,8529,9239,9689,9454,8363,8633,8939,9028,9399,9962,10497,10901,11400,11940,12216,11915,12822,12798,13586,13932,13986,14512,58.6,59,59.4,59.9,60.3,60.8,61.3,61.8,62.2,62.7,63.2,63.6,64.1,64.6,65.2,65.9,66.7,67.5,68.4,69.2,69.8,70.4,70.8,71,71,70.9,70.8,70.6,70.6,70.6,70.5,70.4,70.5,70.7,71.2,71.7,72.1,72.2,73.1,73.5,73.8,73.9,74,74.2,74.3,74.4,74.4,74.6,74.7,33778500,34790945,35826803,36884914,37964925,39061999,40164969,41259539,42334954,43386846,44416007,45423442,46412310,47385325,48336894,49265597,50183106,51105438,52041468,53002775,53979503,54933561,55812794,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67959359
Vietnam,top,Asean (current),1047,1002,1059,1053,1082,1152,1202,1128,1023,1168,1182,1165,1151,1097,1112,1178,1216,1297,1345,1354,1374,1427,1457,1501,1562,1667,1770,1895,2042,2197,2339,2437,2515,2650,2778,2920,3085,3278,3485,3687,3907,4085,4260,4486,4717,4912,5125,5370,5623,61.1,60.5,59.6,58.8,58.2,58,58.4,59.2,60.5,62.1,63.6,64.9,65.8,66.5,66.9,67.1,67.3,67.5,67.8,68.1,68.4,68.7,69,69.3,69.6,69.8,70.1,70.3,70.6,70.9,71.1,71.5,71.7,72,72.2,72.5,72.8,73,73.3,73.5,73.8,74.1,74.3,74.5,74.7,74.9,75,75.2,75.4,40074695,41195833,42309662,43407291,44485910,45549487,46604726,47661770,48729397,49808071,50899504,52015279,53169674,54372518,55627743,56931822,58277391,59653092,61049370,62459557,63881296,65313709,66757401,68209604,69670620,71129537,72558986,73923849,75198975,76375677,77460429,78462888,79399708,80285563,81123685,81917488,82683039,83439812,84203817,84979667,85770717,86589342,87449021,88357775,89321903,90335547,91378752,92423338,93447601
Indonesia,bottom,Asean (current),1602,1741,1920,2082,2162,2351,2637,2679,2612,2797,2946,3026,3111,3314,3445,3254,3294,3461,3489,3646,3775,3940,4234,4548,4868,5131,5412,5727,6111,6478,6683,5721,5684,5878,6005,6186,6389,6615,6892,7168,7516,7856,8108,8498,8907,9327,9729,10099,10504,50.5,51.3,52,52.7,53.4,54.1,54.8,55.4,56,56.7,57.3,57.9,58.5,59,59.6,60.1,60.6,61.2,61.7,62.2,62.6,63.1,63.6,64,64.5,64.9,65.3,65.7,66.1,66.4,66.7,67,67.2,67.5,67.8,68,68.2,66.7,68.7,68.9,69.2,69.4,69.6,69.8,70.1,70.3,70.6,70.8,71.1,105907403,108821565,111800090,114834781,117921994,121059511,124242299,127465232,130724118,134010695,137322122,140665859,144053516,147490366,150978841,154506266,158044343,161555584,165012195,168402027,171728916,175000919,178233231,181436821,184614740,187762097,190873248,193939912,196957845,199926615,202853850,205753493,208644079,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,257563815
Singapore,bottom,Asean (current),7331,8209,9207,10336,11389,12711,13889,14499,14743,15590,16589,17799,19252,20882,21889,22467,24095,25649,25245,25812,27957,30453,32597,34316,35583,36978,40213,43231,44884,46342,48528,45863,48271,51663,49809,51435,54515,58977,61921,65331,68375,65991,63644,72056,74949,75630,77721,78958,80794,66.6,66.8,67.1,67.4,67.8,68.1,68.5,68.9,69.3,69.6,70,70.3,70.7,71,71.4,71.7,72.1,72.5,72.9,73.3,73.7,74.1,74.5,74.9,75.6,76,76.2,76.3,76.4,76.7,77.2,77.6,78,78.3,78.6,78.9,79.3,79.8,80,80.2,80.4,80.6,81,81.3,81.5,81.6,81.7,81.9,82,1960547,1998637,2036270,2074071,2112873,2152603,2191924,2228896,2262393,2291621,2317796,2344224,2375417,2414524,2463245,2520494,2583241,2646981,2708634,2766755,2822828,2880188,2943633,3016400,3100091,3193042,3291280,3389119,3482635,3570080,3653151,3735531,3822619,3918183,4023237,4136102,4254553,4375230,4495531,4614637,4732785,4849641,4965105,5078961,5190666,5299524,5405009,5506586,5603740
Philippines,bottom,Asean (current),2992,3051,3104,3132,3212,3296,3494,3524,3624,3840,3947,4041,4154,4251,4295,4347,4333,3928,3559,3598,3670,3834,3982,4010,3891,3813,3804,3882,3973,4112,4230,4115,4151,4243,4275,4340,4465,4672,4804,4967,5205,5332,5304,5614,5721,6005,6326,6598,6876,61.3,61.6,61.9,62.3,62.5,62.8,63,63.1,63.2,63.3,63.4,63.6,63.8,64.1,64.4,64.7,65.1,65.5,66,66.4,66.7,67.1,67.3,67.6,67.9,68.2,68.3,68.6,68.8,68.9,69,69,69.2,69.1,69,69,69.1,69.1,69.1,69.2,69.7,69.8,69.9,70.1,70.2,70.3,70.3,70.7,71,32826602,33797041,34787588,35804731,36851055,37925400,39026082,40149959,41295129,42461189,43650333,44866279,46113992,47396966,48715592,50068493,51455037,52873979,54323651,55803915,57312794,58844392,60391168,61947340,63509940,65078901,66654954,68240134,69835713,71437381,73042605,74656228,76285225,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,100699395
Malaysia,top,Asean (current),3552,3774,3902,4051,4252,4468,5000,5255,5182,5699,6028,6414,6785,7183,7517,7779,8065,8488,8198,8101,8333,8860,9476,10159,10832,11491,12309,13107,14035,15051,15749,14231,14748,15695,15443,15950,16550,17342,17929,18582,19394,19968,19320,20398,21096,21920,22589,23579,24320,63.7,64.2,64.6,65.1,65.5,65.9,66.3,66.7,67.1,67.5,67.9,68.2,68.6,68.9,69.2,69.5,69.8,70.1,70.5,70.7,71,71.3,71.5,71.8,72,72.2,72.4,72.4,72.4,72.5,72.8,73,73.1,73.3,73.6,73.8,73.9,74,74.3,74.5,74.5,74.5,74.3,74.4,74.6,74.7,74.9,75.1,75.3,10111920,10375877,10640347,10908634,11182078,11460080,11741849,12025930,12311782,12599655,12891715,13191699,13504433,13833739,14180093,14543585,14926976,15333369,15764340,16221767,16703500,17202032,17707064,18211097,18709835,19204700,19700762,20205992,20725374,21260881,21808125,22358128,22898579,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,30331007
Myanmar,bottom,Asean (current),1306,1369,1401,1438,1458,1441,1409,1456,1490,1554,1620,1700,1751,1864,1935,2002,2050,2110,2131,2072,1956,1709,1749,1775,1741,1784,1809,1839,1868,1895,1919,1944,1998,2069,2129,2196,2276,2351,2339,2593,2846,2891,2979,3077,3181,3346,3526,3727,4012,48.3,49.1,49.8,50.3,50.7,51.1,51.4,51.8,52.2,52.5,52.9,53.3,53.7,54.1,54.4,54.8,55.2,55.5,55.9,56.2,56.6,56.9,57.3,57.6,57.8,58.1,58.4,58.8,59,59.4,59.7,60.1,60.4,60.8,61.3,61.7,62.3,62.8,63.4,64,64.6,59.4,65.6,66,66.4,66.8,67.2,67.6,68,25218375,25853248,26504247,27166045,27836648,28517289,29209686,29916827,30640635,31379308,32130696,32895739,33675835,34470694,35279907,36098908,36917980,37724581,38508821,39269143,40005369,40711172,41379635,42007309,42588029,43126260,43642311,44164109,44710931,45290888,45895991,46509586,47106923,47669791,48195684,48689952,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,53897154
Cambodia,bottom,Asean (current),1647,1678,1660,1643,1539,1440,1161,1101,1096,1116,976,1003,891,839,822,792,791,790,787,792,920,993,1025,996,1055,1096,1004,1058,1091,1117,1148,1176,1285,1368,1448,1516,1617,1755,1957,2136,2321,2442,2409,2513,2646,2790,2942,3093,3267,44,44.1,44,43.3,41.7,39.7,37.6,34.9,21.7,19,18.1,19.6,21.9,28.2,38,44.2,49.4,53.2,55.5,56.5,56.8,57,57.2,57.6,57.9,58.2,58.1,58,58.1,58.3,58.7,59,59.5,60,60.8,61.6,62.4,63.2,64,64.8,65.4,66.1,66.6,67,67.6,68.2,68.7,69.1,69.4,6695460,6795514,6902025,7022185,7167716,7331162,7478147,7561583,7551988,7431505,7222050,6982522,6795102,6718241,6774509,6945053,7196139,7475011,7743065,7990133,8228268,8467109,8723550,9008856,9323607,9659238,10007092,10355253,10694459,11022162,11338733,11641509,11928306,12197905,12448881,12681984,12901217,13112334,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,15577899
Laos,top,Asean (current),1312,1323,1334,1346,1357,1369,1380,1390,1400,1435,1462,1486,1521,1553,1578,1589,1597,1605,1616,1618,1619,1620,1621,1622,1644,1686,1736,1828,1908,1993,2084,2123,2237,2327,2424,2533,2651,2780,2930,3126,3298,3483,3668,3901,4133,4381,4667,4925,5212,43.9,44.2,44.4,44.7,44.9,45.2,45.4,45.6,45.9,46.1,46.3,46.5,46.7,46.9,47.2,47.5,47.8,48.1,48.5,49,49.6,50.2,50.8,51.5,52,52.4,52.8,53.2,53.6,54,54.4,54.9,55.5,56.1,56.6,57.6,58.4,59.3,60.1,60.8,61.7,62.5,63.3,64.1,65,65.6,66.1,66.6,67.1,2495093,2554843,2618246,2686025,2759634,2837967,2916148,2987544,3047864,3094940,3131492,3164146,3202270,3252701,3317570,3395113,3483492,3579370,3680145,3785230,3895066,4009121,4126935,4247839,4371549,4496971,4621685,4742685,4857774,4966303,5068658,5165072,5256207,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,6802023
Brunei,bottom,Asean (current),70751,71861,72988,74132,78230,82612,86923,93231,89842,103744,110729,113988,134864,121356,94314,95207,93016,90992,87154,82425,81711,80275,77184,77076,77275,78688,76750,77038,78406,78661,75654,73498,74041,74475,74868,76130,76737,75596,74441,76287,75054,72351,69924,70636,71991,71664,69474,72219,73003,66.1,66.5,67,67.4,67.8,68.2,68.6,69,69.3,69.7,70,70.3,70.7,71,71.3,71.5,71.8,72.1,72.4,72.7,73,73.3,73.5,73.8,73.8,74,74.2,74.4,74.7,74.9,75.2,75.6,75.8,75.9,76.1,76.3,76.5,76.7,76.7,76.8,76.8,76.9,77,77.1,76.9,76.9,76.9,77.1,77.1,112680,118176,123875,129729,135716,141836,148067,154395,160799,167283,173826,180357,186786,193057,199136,205061,210933,216893,223049,229418,235980,242750,249738,256939,264365,271989,279717,287423,295010,302449,309746,316873,323812,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394,423188
